k	Re[k]	Im[k]	ABS[k]
1311	   0.00083	   0.00108	   0.00136
1312	  -0.00002	   0.00032	   0.00032
1313	  -0.00071	   0.00123	   0.00142
1314	  -0.00023	  -0.00024	   0.00034
1315	   0.00017	   0.00047	   0.00050
1316	  -0.02592	  -0.03247	   0.04155
1317	  -0.00041	  -0.00129	   0.00135
1318	  -0.00022	  -0.00028	   0.00036
1319	  -0.00246	   0.00182	   0.00306
1320	   0.00202	   0.00135	   0.00243
1321	  -0.00111	   0.00141	   0.00180
1322	   0.00070	   0.00019	   0.00073
1323	   0.00209	   0.00740	   0.00769
1324	   0.00197	  -0.00182	   0.00268
1325	  -0.00111	  -0.00025	   0.00114
1326	  -0.00097	  -0.00113	   0.00149
1327	   0.00132	   0.00187	   0.00229
1328	   0.00246	  -0.01137	   0.01163
1329	  -0.00047	  -0.00010	   0.00048
1330	   0.01914	   0.01215	   0.02267
1331	  -0.00107	  -0.00122	   0.00162
1332	  -0.00275	  -0.00029	   0.00277
1333	   0.00356	  -0.00127	   0.00378
1334	  -0.00018	  -0.00155	   0.00156
1335	  -0.00059	   0.00116	   0.00130
1336	   0.00045	  -0.00159	   0.00165
1337	   0.00387	   0.00054	   0.00391
1338	  -0.00233	   0.00208	   0.00313
1339	   0.00074	  -0.00102	   0.00126
1340	   0.00226	  -0.00198	   0.00301
1341	   0.00224	  -0.00169	   0.00281
1342	   0.00439	   0.00455	   0.00632
1343	   0.00098	   0.00115	   0.00151
1344	   0.01863	  -0.01979	   0.02718
1345	   0.00278	  -0.00229	   0.00360
1346	   0.00119	   0.00073	   0.00140
1347	   0.00050	  -0.00063	   0.00080
1348	   0.00009	  -0.00012	   0.00015
1349	  -0.00059	   0.00023	   0.00064
1350	   0.00128	   0.00230	   0.00263
1351	  -0.00510	  -0.01185	   0.01290
1352	  -0.00116	   0.00045	   0.00125
1353	   0.00111	   0.00178	   0.00210
1354	   0.00031	   0.00054	   0.00062
1355	   0.00055	   0.00120	   0.00132
1356	  -0.00018	  -0.00159	   0.00160
1357	  -0.00247	   0.00089	   0.00263
1358	  -0.00490	   0.00241	   0.00546
1359	   0.00201	   0.00410	   0.00457
1360	  -0.00245	   0.00254	   0.00353
1361	   0.00511	   0.00063	   0.00515
1362	  -0.00251	  -0.00219	   0.00333
1363	  -0.00018	  -0.00023	   0.00029
1364	   0.00076	   0.00049	   0.00091
1365	  -0.00552	  -0.06678	   0.06701
1366	  -0.00126	   0.00065	   0.00142
1367	  -0.00478	  -0.00034	   0.00479
1368	  -0.00246	  -0.00067	   0.00255
1369	   0.00079	   0.00315	   0.00325
1370	  -0.00005	  -0.00013	   0.00014
1371	   0.00017	   0.00238	   0.00239
1372	  -0.00456	   0.00244	   0.00517
1373	   0.00079	  -0.00300	   0.00311
1374	   0.00032	   0.00106	   0.00111
1375	  -0.00067	   0.00157	   0.00171
1376	   0.00207	  -0.00127	   0.00243
1377	   0.00331	  -0.00054	   0.00335
1378	  -0.00105	   0.00110	   0.00152
1379	  -0.00205	   0.00404	   0.00453
1380	   0.00038	  -0.00075	   0.00084
1381	  -0.00048	  -0.00046	   0.00066
1382	  -0.00253	   0.00041	   0.00256
1383	  -0.00307	  -0.00563	   0.00641
1384	  -0.00584	  -0.00489	   0.00762
1385	   0.02468	  -0.02520	   0.03527
1386	   0.00070	   0.00265	   0.00274
1387	   0.00026	   0.00235	   0.00236
1388	  -0.00025	  -0.00029	   0.00038
1389	  -0.00195	   0.00053	   0.00202
1390	  -0.00083	   0.00009	   0.00083
1391	   0.00014	  -0.00095	   0.00096
1392	  -0.00987	  -0.00148	   0.00998
1393	  -0.00063	  -0.00404	   0.00409
1394	  -0.00222	  -0.00022	   0.00223
1395	  -0.00326	  -0.00244	   0.00407
1396	   0.00232	   0.00763	   0.00797
1397	  -0.00088	  -0.00140	   0.00166
1398	  -0.00175	   0.00335	   0.00378
1399	   0.00006	   0.00941	   0.00941
1400	  -0.00769	  -0.00506	   0.00921
1401	   0.00840	  -0.01014	   0.01317
1402	  -0.00296	  -0.00152	   0.00333
1403	   0.00393	  -0.00451	   0.00598
1404	   0.00054	  -0.00081	   0.00097
1405	  -0.00178	  -0.00199	   0.00267
1406	  -0.00199	  -0.00112	   0.00228
1407	  -0.00665	   0.00067	   0.00668
1408	  -0.00065	  -0.00655	   0.00658
1409	   0.00161	   0.00185	   0.00245
1410	  -0.00028	  -0.00120	   0.00123
1411	  -0.00238	   0.00169	   0.00292
1412	  -0.00142	   0.00202	   0.00247
1413	   0.00071	  -0.00022	   0.00074
1414	  -0.00910	   0.00357	   0.00977
1415	   0.00336	   0.00275	   0.00435
1416	   0.00061	  -0.00369	   0.00374
1417	   0.00263	   0.00204	   0.00333
1418	   0.00220	   0.00164	   0.00275
1419	   0.00136	   0.00068	   0.00152
1420	   0.00410	  -0.00005	   0.00410
1421	  -0.00788	   0.00034	   0.00789
1422	  -0.00649	   0.00392	   0.00758
1423	  -0.00317	   0.00327	   0.00455
1424	   0.01983	   0.02001	   0.02817
1425	   0.00196	  -0.00080	   0.00211
1426	  -0.00013	  -0.00177	   0.00177
1427	   0.00160	   0.00231	   0.00281
1428	  -0.00327	   0.00729	   0.00799
1429	   0.00409	   0.00230	   0.00469
1430	  -0.00972	   0.00041	   0.00973
1431	   0.00728	   0.00569	   0.00924
1432	  -0.00619	   0.00121	   0.00630
1433	  -0.00044	   0.00076	   0.00088
1434	  -0.00345	  -0.00326	   0.00475
1435	  -0.00732	   0.00824	   0.01102
1436	   0.00302	  -0.00140	   0.00333
1437	  -0.00192	  -0.00222	   0.00293
1438	   0.00704	   0.00988	   0.01213
1439	  -0.00012	   0.00384	   0.00384
1440	   0.00022	   0.00092	   0.00094
1441	  -0.00162	   0.00712	   0.00730
1442	  -0.00235	   0.00240	   0.00336
1443	  -0.00073	   0.00322	   0.00330
1444	  -0.00474	  -0.01182	   0.01273
1445	   0.03306	   0.00362	   0.03326
1446	   0.00100	  -0.00266	   0.00284
1447	   0.00062	   0.00286	   0.00293
1448	  -0.00023	   0.00529	   0.00530
1449	  -0.00785	  -0.00356	   0.00862
1450	  -0.00796	   0.00219	   0.00825
1451	  -0.00075	  -0.00073	   0.00105
1452	   0.04164	   0.01348	   0.04376
1453	  -0.00138	  -0.00117	   0.00181
1454	  -0.00146	   0.00080	   0.00167
1455	   0.00228	  -0.00066	   0.00237
1456	  -0.00822	  -0.00125	   0.00832
1457	   0.00086	  -0.00276	   0.00289
1458	  -0.00191	   0.00076	   0.00206
1459	   0.00342	  -0.01124	   0.01175
1460	   0.00176	   0.00202	   0.00268
1461	   0.00282	  -0.00317	   0.00424
1462	   0.00039	   0.00393	   0.00395
1463	  -0.01972	  -0.00194	   0.01982
1464	   0.00191	  -0.00205	   0.00281
1465	  -0.00492	   0.00310	   0.00581
1466	   0.00543	   0.00361	   0.00652
1467	  -0.00124	   0.00003	   0.00124
1468	  -0.00352	  -0.00011	   0.00352
1469	  -0.00156	  -0.00128	   0.00202
1470	  -0.01302	   0.00040	   0.01303
1471	  -0.00064	  -0.00784	   0.00786
1472	  -0.00217	  -0.00009	   0.00218
1473	   0.02418	  -0.02344	   0.03367
1474	   0.00197	  -0.00009	   0.00197
1475	   0.00124	  -0.00165	   0.00206
1476	   0.00333	   0.00097	   0.00347
1477	  -0.01100	   0.00717	   0.01314
1478	  -0.00006	  -0.00124	   0.00124
1479	   0.01074	   0.00129	   0.01082
1480	  -0.00038	  -0.01034	   0.01035
1481	  -0.00346	   0.00423	   0.00546
1482	  -0.00122	  -0.00147	   0.00191
1483	  -0.00465	  -0.00172	   0.00496
1484	  -0.00434	   0.00632	   0.00767
1485	  -0.00121	   0.00043	   0.00129
1486	   0.00359	   0.00096	   0.00371
1487	   0.00008	   0.00115	   0.00115
1488	  -0.00047	   0.00087	   0.00099
1489	  -0.00183	   0.00069	   0.00196
1490	   0.00212	   0.00006	   0.00212
1491	  -0.00307	   0.00223	   0.00379
1492	  -0.00027	  -0.00034	   0.00044
1493	  -0.00127	   0.00610	   0.00623
1494	  -0.00191	   0.00248	   0.00313
1495	  -0.00235	  -0.00201	   0.00309
1496	   0.00654	   0.00389	   0.00761
1497	  -0.00124	  -0.00359	   0.00380
1498	  -0.00278	   0.00128	   0.00306
1499	   0.00464	  -0.00284	   0.00544
1500	   0.00032	  -0.00000	   0.00032
1501	  -0.00214	   0.00448	   0.00497
1502	  -0.00209	   0.00065	   0.00219
1503	   0.00259	  -0.00172	   0.00311
1504	   0.00757	  -0.00171	   0.00776
1505	  -0.01405	  -0.00528	   0.01501
1506	   0.00117	  -0.00162	   0.00200
1507	  -0.00015	  -0.00102	   0.00103
1508	   0.00206	  -0.00479	   0.00521
1509	  -0.00368	  -0.00007	   0.00368
1510	  -0.00061	   0.00343	   0.00349
1511	  -0.00866	   0.00952	   0.01287
1512	  -0.00701	  -0.00798	   0.01062
1513	  -0.00048	   0.00111	   0.00121
1514	   0.00006	  -0.00367	   0.00367
1515	  -0.00048	   0.00003	   0.00048
1516	   0.00968	  -0.00322	   0.01020
1517	   0.00327	  -0.00213	   0.00390
1518	  -0.00444	  -0.00033	   0.00445
1519	  -0.00630	  -0.00173	   0.00654
1520	   0.00129	  -0.00280	   0.00308
1521	  -0.00091	   0.00280	   0.00295
1522	  -0.00253	  -0.00228	   0.00340
1523	   0.05751	  -0.03826	   0.06908
1524	   0.00087	   0.00166	   0.00187
1525	  -0.00239	  -0.00364	   0.00436
1526	  -0.00680	  -0.00075	   0.00684
1527	  -0.00470	   0.00074	   0.00476
1528	   0.00283	   0.00519	   0.00591
1529	  -0.00116	  -0.00169	   0.00205
1530	   0.00454	   0.00226	   0.00507
1531	  -0.00257	  -0.00016	   0.00257
1532	  -0.00056	  -0.00331	   0.00336
1533	  -0.01438	  -0.00471	   0.01513
1534	  -0.00229	  -0.00264	   0.00349
1535	  -0.00126	   0.00871	   0.00880
1536	  -0.00035	  -0.00416	   0.00418
1537	  -0.00253	   0.00401	   0.00475
1538	  -0.00399	   0.00124	   0.00418
1539	  -0.00026	   0.00366	   0.00367
1540	  -0.00396	   0.00654	   0.00765
1541	  -0.01016	  -0.00809	   0.01299
1542	   0.00299	   0.00067	   0.00307
1543	  -0.00208	   0.00031	   0.00211
1544	  -0.00030	  -0.00615	   0.00616
1545	   0.00932	  -0.00444	   0.01033
1546	   0.00061	   0.00045	   0.00076
1547	   0.00449	   0.00767	   0.00889
1548	   0.00312	   0.01267	   0.01305
1549	  -0.00385	  -0.00015	   0.00385
1550	   0.00245	   0.00159	   0.00292
1551	   0.00203	  -0.00011	   0.00204
1552	   0.00167	   0.00362	   0.00399
1553	   0.00177	   0.00087	   0.00197
1554	   0.00415	   0.00035	   0.00416
1555	   0.00139	   0.00360	   0.00386
1556	   0.00112	   0.00226	   0.00253
1557	   0.00167	  -0.00073	   0.00182
1558	   0.00153	   0.00173	   0.00231
1559	   0.00155	  -0.00015	   0.00156
1560	   0.00033	   0.00199	   0.00201
1561	  -0.00141	  -0.00501	   0.00520
1562	  -0.00425	   0.00117	   0.00440
1563	  -0.00373	  -0.00087	   0.00383
1564	   0.00112	  -0.00169	   0.00203
1565	  -0.00134	   0.00403	   0.00425
1566	  -0.00008	   0.00173	   0.00173
1567	   0.00073	  -0.00116	   0.00137
1568	  -0.00521	  -0.00453	   0.00690
1569	   0.00020	   0.00158	   0.00159
1570	   0.00117	   0.00328	   0.00348
1571	  -0.00317	   0.00540	   0.00627
1572	   0.00078	  -0.00237	   0.00249
1573	  -0.00061	   0.00383	   0.00388
1574	  -0.00926	  -0.00471	   0.01039
1575	  -0.01214	  -0.00210	   0.01232
1576	  -0.00864	   0.00507	   0.01002
1577	   0.00180	  -0.00009	   0.00180
1578	  -0.00008	  -0.00085	   0.00086
1579	   0.00077	   0.00094	   0.00121
1580	   0.00139	   0.00174	   0.00222
1581	   0.00478	  -0.00072	   0.00483
1582	  -0.00553	   0.00439	   0.00705
1583	  -0.00080	   0.00036	   0.00088
1584	  -0.00031	  -0.00044	   0.00053
1585	   0.01025	   0.00134	   0.01034
1586	  -0.00252	  -0.00382	   0.00458
1587	   0.03222	  -0.02137	   0.03866
1588	  -0.00066	   0.00031	   0.00072
1589	  -0.00170	   0.00382	   0.00418
1590	  -0.00177	  -0.00015	   0.00177
1591	  -0.00156	  -0.00023	   0.00158
1592	   0.00238	   0.00307	   0.00389
1593	  -0.00173	  -0.00099	   0.00200
1594	   0.00334	  -0.00314	   0.00458
1595	  -0.00130	  -0.00008	   0.00131
1596	  -0.00196	   0.00214	   0.00290
1597	  -0.00029	  -0.00191	   0.00193
1598	   0.00132	   0.00045	   0.00140
1599	   0.00632	  -0.00089	   0.00638
1600	   0.00290	  -0.00408	   0.00501
1601	  -0.00458	   0.00701	   0.00838
1602	  -0.00062	  -0.00312	   0.00318
1603	  -0.00219	  -0.00214	   0.00306
1604	   0.00025	   0.00368	   0.00369
1605	  -0.00142	  -0.00132	   0.00194
1606	   0.00037	   0.00072	   0.00081
1607	  -0.00250	   0.00189	   0.00314
1608	  -0.00042	  -0.00067	   0.00079
1609	  -0.00100	  -0.00152	   0.00182
1610	   0.01713	   0.00544	   0.01797
1611	  -0.00379	   0.00725	   0.00817
1612	   0.00097	   0.00043	   0.00106
1613	   0.00087	  -0.00458	   0.00466
1614	  -0.00582	  -0.00242	   0.00630
1615	   0.00142	  -0.00043	   0.00149
1616	   0.00232	   0.00114	   0.00259
1617	  -0.01141	   0.00193	   0.01157
1618	  -0.00058	  -0.00548	   0.00551
1619	   0.00046	   0.00031	   0.00055
1620	   0.00040	   0.00001	   0.00041
1621	  -0.01209	   0.00665	   0.01380
1622	   0.00102	  -0.00110	   0.00150
1623	  -0.00063	  -0.00040	   0.00075
1624	  -0.01754	   0.00820	   0.01936
1625	  -0.00193	   0.00008	   0.00193
1626	  -0.00254	   0.00330	   0.00417
1627	   0.00350	  -0.00117	   0.00369
1628	  -0.00250	  -0.00060	   0.00257
1629	   0.00086	  -0.00495	   0.00502
1630	   0.00141	  -0.00097	   0.00172
1631	   0.00133	   0.00016	   0.00134
1632	   0.00071	   0.00083	   0.00109
1633	  -0.00006	   0.00061	   0.00061
1634	   0.00389	   0.00911	   0.00990
1635	  -0.00372	  -0.00076	   0.00379
1636	  -0.00847	  -0.00252	   0.00884
1637	   0.00464	   0.00448	   0.00645
1638	  -0.00345	  -0.00050	   0.00348
1639	   0.00156	  -0.00080	   0.00175
1640	  -0.00025	   0.00315	   0.00316
1641	  -0.01490	   0.00235	   0.01509
1642	  -0.00157	   0.00069	   0.00171
1643	  -0.00253	   0.00403	   0.00476
1644	   0.00116	  -0.00084	   0.00143
1645	  -0.00165	   0.00011	   0.00165
1646	  -0.00167	   0.00044	   0.00173
1647	  -0.00421	   0.00203	   0.00467
1648	   0.02604	   0.00717	   0.02701
1649	  -0.00148	   0.00124	   0.00194
1650	   0.00376	  -0.00385	   0.00538
1651	   0.00367	  -0.00125	   0.00387
1652	  -0.00367	   0.00234	   0.00436
1653	   0.00100	   0.00163	   0.00192
1654	   0.00500	  -0.00539	   0.00736
1655	  -0.00022	   0.00054	   0.00058
1656	  -0.00367	   0.00310	   0.00481
1657	  -0.00074	  -0.00189	   0.00203
1658	   0.00040	  -0.00190	   0.00194
1659	   0.00443	   0.00534	   0.00694
1660	   0.00104	  -0.00073	   0.00127
1661	   0.00022	  -0.00099	   0.00101
1662	   0.00106	  -0.00861	   0.00868
1663	  -0.00764	  -0.00427	   0.00875
1664	  -0.00058	  -0.00314	   0.00320
1665	  -0.00484	   0.00170	   0.00513
1666	   0.00424	   0.00132	   0.00444
1667	  -0.00059	  -0.00164	   0.00174
1668	   0.00460	   0.00057	   0.00464
1669	   0.01135	  -0.00084	   0.01138
1670	  -0.00824	  -0.00416	   0.00923
1671	  -0.00143	   0.00124	   0.00189
1672	  -0.00075	  -0.00098	   0.00123
1673	  -0.00421	   0.00227	   0.00478
1674	   0.00121	  -0.01048	   0.01055
1675	  -0.00036	  -0.00373	   0.00374
1676	   0.00452	   0.00482	   0.00661
1677	  -0.00211	  -0.00140	   0.00253
1678	  -0.00197	   0.00174	   0.00262
1679	  -0.00410	   0.00086	   0.00419
1680	  -0.00101	  -0.00427	   0.00439
1681	   0.00080	   0.00118	   0.00143
1682	   0.00108	   0.00223	   0.00248
1683	  -0.00597	   0.00943	   0.01117
1684	   0.00468	   0.02058	   0.02110
1685	   0.00045	   0.00129	   0.00137
1686	  -0.00128	  -0.00148	   0.00196
1687	  -0.00651	  -0.00588	   0.00877
1688	   0.00016	  -0.00096	   0.00097
1689	  -0.00004	  -0.00010	   0.00011
1690	   0.05353	  -0.02816	   0.06049
1691	   0.00578	   0.00291	   0.00647
1692	  -0.00045	   0.00165	   0.00171
1693	   0.00231	   0.00119	   0.00260
1694	  -0.00619	  -0.00026	   0.00620
1695	  -0.00430	  -0.00117	   0.00445
1696	  -0.00468	  -0.00048	   0.00470
1697	  -0.07551	  -0.03090	   0.08158
1698	   0.00187	  -0.00436	   0.00475
1699	   0.00021	   0.00097	   0.00099
1700	  -0.00001	  -0.00075	   0.00075
1701	  -0.00357	   0.00376	   0.00518
1702	   0.00390	  -0.00072	   0.00397
1703	   0.00018	  -0.00757	   0.00757
1704	  -0.01474	   0.00223	   0.01490
1705	  -0.01789	   0.00489	   0.01855
1706	  -0.00143	  -0.00005	   0.00143
1707	  -0.00019	   0.00086	   0.00088
1708	   0.00249	   0.00707	   0.00749
1709	   0.00405	  -0.00723	   0.00828
1710	   0.00099	   0.00184	   0.00209
1711	  -0.00658	  -0.00679	   0.00946
1712	  -0.00734	  -0.00170	   0.00753
1713	  -0.01057	  -0.03211	   0.03380
1714	  -0.00134	  -0.00022	   0.00136
1715	   0.00278	   0.00524	   0.00593
1716	   0.01309	   0.01373	   0.01897
1717	  -0.06243	   0.05336	   0.08213
1718	   0.00510	   0.00312	   0.00598
1719	   0.00265	  -0.00085	   0.00278
1720	   0.00260	  -0.00078	   0.00271
1721	  -0.00026	  -0.00001	   0.00026
1722	   0.00014	  -0.00915	   0.00915
1723	  -0.00367	  -0.00031	   0.00368
1724	  -0.00462	  -0.01082	   0.01176
1725	   0.00966	   0.00619	   0.01147
1726	  -0.01229	  -0.01452	   0.01902
1727	   0.00883	   0.00937	   0.01288
1728	   0.00023	   0.00011	   0.00025
1729	   0.00295	  -0.00628	   0.00694
1730	   0.00082	   0.04955	   0.04956
1731	   0.00307	  -0.01688	   0.01716
1732	  -0.00527	  -0.00813	   0.00969
1733	   0.01444	  -0.01599	   0.02155
1734	  -0.00184	   0.01009	   0.01026
1735	  -0.00012	  -0.00019	   0.00023
1736	  -0.00604	  -0.01078	   0.01236
1737	   0.00115	   0.00270	   0.00294
1738	   0.00175	   0.00414	   0.00450
1739	  -0.00615	   0.01565	   0.01681
1740	  -0.00911	   0.00909	   0.01287
1741	  -0.04669	   0.06678	   0.08149
1742	   0.00011	   0.00214	   0.00215
1743	  -0.00785	  -0.00248	   0.00823
1744	   0.00999	   0.01641	   0.01921
1745	  -0.00114	   0.00010	   0.00114
1746	  -0.01199	  -0.00053	   0.01200
1747	   0.00280	   0.00113	   0.00302
1748	  -0.00003	   0.00180	   0.00180
1749	   0.00058	   0.00144	   0.00156
1750	  -0.01174	  -0.00307	   0.01213
1751	  -0.00291	   0.00607	   0.00673
1752	   0.00639	   0.01142	   0.01309
1753	   0.00167	   0.00002	   0.00167
1754	  -0.00040	   0.00098	   0.00105
1755	  -0.00095	   0.00455	   0.00465
1756	   0.00178	  -0.00063	   0.00189
1757	  -0.00100	   0.00393	   0.00406
1758	  -0.00261	  -0.00288	   0.00388
1759	   0.00325	   0.00392	   0.00509
1760	  -0.00152	  -0.00036	   0.00156
1761	   0.00166	   0.00036	   0.00169
1762	  -0.00204	   0.00798	   0.00824
1763	   0.00183	   0.00152	   0.00238
1764	   0.00220	   0.00477	   0.00525
1765	   0.00179	   0.00176	   0.00251
1766	  -0.00219	  -0.00846	   0.00874
1767	  -0.00264	   0.00089	   0.00278
1768	   0.00066	  -0.00171	   0.00184
1769	   0.00297	  -0.01200	   0.01236
1770	  -0.00172	   0.00025	   0.00174
1771	  -0.00098	   0.00767	   0.00774
1772	  -0.00378	   0.00232	   0.00443
1773	   0.00053	   0.00187	   0.00194
1774	  -0.00096	  -0.00044	   0.00106
1775	  -0.00214	   0.00115	   0.00243
1776	   0.00715	   0.00045	   0.00716
1777	   0.00234	   0.00112	   0.00259
1778	   0.00117	  -0.00883	   0.00891
1779	  -0.00216	   0.00221	   0.00309
1780	  -0.00026	   0.00122	   0.00124
1781	  -0.00121	   0.00116	   0.00168
1782	   0.00102	   0.00259	   0.00279
1783	   0.00098	   0.00082	   0.00127
1784	   0.00025	  -0.00250	   0.00251
1785	  -0.00451	  -0.00686	   0.00821
1786	   0.00232	  -0.00530	   0.00578
1787	   0.00127	   0.00194	   0.00232
1788	  -0.00691	  -0.00211	   0.00723
1789	  -0.00053	  -0.00095	   0.00109
1790	   0.00035	  -0.00126	   0.00131
1791	   0.00626	   0.00316	   0.00701
1792	  -0.00606	   0.00121	   0.00618
1793	   0.00064	   0.00296	   0.00303
1794	   0.02577	  -0.00173	   0.02583
1795	  -0.00092	   0.00100	   0.00136
1796	  -0.00411	   0.00074	   0.00418
1797	  -0.00086	   0.00148	   0.00172
1798	  -0.00126	  -0.00046	   0.00134
1799	  -0.00850	   0.00136	   0.00860
1800	   0.00293	  -0.00088	   0.00306
1801	  -0.00476	   0.00709	   0.00854
1802	  -0.00332	   0.00028	   0.00333
1803	  -0.00393	  -0.00192	   0.00437
1804	   0.00693	  -0.00280	   0.00748
1805	  -0.00355	  -0.00081	   0.00364
1806	  -0.00399	   0.00258	   0.00475
1807	   0.00202	  -0.00320	   0.00378
1808	   0.00894	   0.02907	   0.03041
1809	  -0.00485	   0.00286	   0.00563
1810	  -0.00021	  -0.00129	   0.00131
1811	  -0.02242	  -0.00760	   0.02367
1812	  -0.00037	  -0.00184	   0.00188
1813	  -0.00575	   0.00954	   0.01114
1814	  -0.01244	   0.00430	   0.01316
1815	   0.00021	  -0.00254	   0.00255
1816	  -0.00299	   0.00141	   0.00331
1817	   0.00174	   0.00067	   0.00186
1818	   0.00491	  -0.00739	   0.00887
1819	   0.00066	   0.00060	   0.00089
1820	  -0.00120	   0.00072	   0.00140
1821	   0.00072	   0.00007	   0.00073
1822	   0.01164	  -0.00634	   0.01326
1823	  -0.00775	   0.00026	   0.00776
1824	   0.00068	   0.00176	   0.00189
1825	  -0.00063	   0.00371	   0.00376
1826	  -0.00386	  -0.00404	   0.00559
1827	  -0.00710	  -0.00238	   0.00749
1828	  -0.00055	  -0.00095	   0.00109
1829	  -0.00262	  -0.00405	   0.00482
1830	   0.00607	   0.00111	   0.00617
1831	   0.00183	  -0.00132	   0.00225
1832	   0.00006	  -0.00081	   0.00081
1833	   0.00848	  -0.01746	   0.01941
1834	  -0.00253	  -0.00560	   0.00614
1835	   0.02300	  -0.02242	   0.03212
1836	   0.00078	  -0.00205	   0.00219
1837	   0.00196	   0.00404	   0.00449
1838	  -0.00147	  -0.00112	   0.00185
1839	  -0.00075	   0.00090	   0.00117
1840	   0.00171	  -0.00055	   0.00179
1841	  -0.00843	  -0.00211	   0.00869
1842	   0.00119	   0.00397	   0.00415
1843	  -0.00428	   0.00534	   0.00684
1844	  -0.00274	   0.00498	   0.00569
1845	  -0.00183	   0.00027	   0.00185
1846	  -0.00051	  -0.00013	   0.00053
1847	   0.00228	  -0.00096	   0.00247
1848	  -0.00876	  -0.00129	   0.00885
1849	  -0.01269	  -0.00335	   0.01312
1850	   0.00109	  -0.00448	   0.00461
1851	  -0.00188	   0.00526	   0.00559
1852	  -0.00012	  -0.00156	   0.00157
1853	   0.00022	  -0.00239	   0.00240
1854	   0.00481	  -0.00787	   0.00923
1855	  -0.01484	   0.00986	   0.01782
1856	  -0.00164	  -0.00126	   0.00207
1857	  -0.00226	  -0.00211	   0.00309
1858	   0.00410	  -0.00236	   0.00473
1859	   0.00095	   0.00090	   0.00130
1860	   0.00125	   0.00187	   0.00225
1861	   0.01210	   0.01369	   0.01827
1862	  -0.01043	   0.00605	   0.01206
1863	  -0.00035	  -0.00209	   0.00212
1864	   0.00275	  -0.00041	   0.00279
1865	  -0.00348	  -0.00128	   0.00371
1866	   0.00311	  -0.00340	   0.00461
1867	  -0.00108	  -0.00039	   0.00115
1868	  -0.00087	   0.00317	   0.00328
1869	  -0.00378	   0.00316	   0.00493
1870	   0.00216	  -0.00164	   0.00271
1871	   0.00226	  -0.00081	   0.00240
1872	  -0.00103	   0.00265	   0.00285
1873	  -0.00699	   0.00365	   0.00789
1874	   0.00140	   0.00151	   0.00206
1875	   0.00048	  -0.00291	   0.00295
1876	  -0.00261	   0.00209	   0.00334
1877	  -0.00024	  -0.00194	   0.00196
1878	  -0.00118	  -0.00068	   0.00136
1879	  -0.00680	   0.00793	   0.01045
1880	  -0.00531	  -0.00463	   0.00704
1881	   0.00141	  -0.00144	   0.00201
1882	  -0.00429	   0.00433	   0.00609
1883	  -0.00117	  -0.00123	   0.00170
1884	  -0.00088	   0.00148	   0.00172
1885	   0.00321	  -0.01404	   0.01441
1886	  -0.00139	   0.00155	   0.00208
1887	  -0.00189	   0.00427	   0.00467
1888	   0.01153	  -0.00054	   0.01154
1889	  -0.00410	   0.00132	   0.00431
1890	  -0.00645	  -0.00423	   0.00772
1891	  -0.00182	   0.00174	   0.00251
1892	   0.00186	  -0.00029	   0.00189
1893	  -0.00489	  -0.00613	   0.00784
1894	  -0.00009	  -0.00064	   0.00065
1895	  -0.00056	   0.00211	   0.00218
1896	   0.00100	  -0.00036	   0.00107
1897	  -0.00780	  -0.00005	   0.00780
1898	   0.00059	   0.00109	   0.00124
1899	  -0.00120	   0.00141	   0.00185
1900	  -0.00152	  -0.00132	   0.00202
1901	   0.00224	  -0.00318	   0.00389
1902	  -0.03508	  -0.02932	   0.04571
1903	   0.00857	   0.00936	   0.01269
1904	  -0.00691	   0.00047	   0.00692
1905	  -0.00251	  -0.00311	   0.00400
1906	  -0.00001	  -0.00054	   0.00054
1907	  -0.00208	   0.00177	   0.00273
1908	  -0.00544	  -0.00276	   0.00610
1909	  -0.00233	  -0.00403	   0.00465
1910	   0.00217	   0.00105	   0.00241
1911	  -0.01352	   0.00888	   0.01618
1912	  -0.00356	   0.00028	   0.00357
1913	  -0.00065	   0.00136	   0.00151
1914	   0.00418	   0.00554	   0.00694
1915	   0.00055	   0.00075	   0.00093
1916	  -0.00569	   0.00158	   0.00591
1917	   0.00115	  -0.00144	   0.00184
1918	  -0.00521	   0.00730	   0.00897
1919	  -0.00267	   0.00392	   0.00474
1920	   0.00298	   0.00157	   0.00336
1921	  -0.00650	  -0.00663	   0.00928
1922	  -0.00288	  -0.00406	   0.00498
1923	   0.00156	  -0.00324	   0.00360
1924	  -0.00239	  -0.00006	   0.00239
1925	  -0.00317	   0.00174	   0.00361
1926	   0.00158	  -0.00338	   0.00373
1927	   0.00332	   0.00018	   0.00333
1928	  -0.01937	   0.05208	   0.05556
1929	  -0.00132	  -0.00053	   0.00142
1930	  -0.00376	   0.00365	   0.00524
1931	  -0.00089	   0.01251	   0.01255
1932	  -0.00462	   0.00235	   0.00518
1933	   0.00061	  -0.00223	   0.00231
1934	  -0.00021	   0.00156	   0.00158
1935	   0.00586	   0.01882	   0.01971
1936	  -0.00070	  -0.00151	   0.00166
1937	  -0.00209	  -0.00465	   0.00510
1938	  -0.00014	  -0.00026	   0.00029
1939	  -0.00115	  -0.00297	   0.00319
1940	   0.00540	   0.00244	   0.00592
1941	   0.00774	   0.00792	   0.01107
1942	   0.00028	   0.00028	   0.00040
1943	   0.00084	  -0.00011	   0.00084
1944	   0.00202	   0.01501	   0.01515
