k	Re[k]	Im[k]	ABS[k]
391	  -0.00302	   0.00197	   0.00361
392	  -0.00031	   0.00048	   0.00057
393	  -0.00014	  -0.00104	   0.00105
394	  -0.00027	  -0.00047	   0.00054
395	   0.00041	   0.00048	   0.00063
396	   0.00031	  -0.00046	   0.00055
397	  -0.00027	  -0.00023	   0.00036
398	  -0.00052	  -0.00066	   0.00084
399	   0.00047	  -0.00026	   0.00054
400	   0.00015	  -0.00222	   0.00223
401	  -0.00007	  -0.00127	   0.00128
402	   0.00449	  -0.00148	   0.00472
403	   0.00098	  -0.00040	   0.00106
404	  -0.00041	   0.00092	   0.00100
405	  -0.00095	  -0.00226	   0.00246
406	  -0.00003	   0.00014	   0.00015
407	  -0.00004	  -0.00132	   0.00132
408	   0.00033	  -0.00208	   0.00211
409	   0.01633	   0.01263	   0.02065
410	   0.00068	   0.00437	   0.00442
411	  -0.00211	   0.00193	   0.00286
412	   0.00131	  -0.00002	   0.00131
413	   0.00003	   0.00068	   0.00068
414	   0.00042	  -0.00092	   0.00101
415	  -0.00040	   0.00042	   0.00058
416	   0.00534	   0.00418	   0.00678
417	  -0.00021	   0.00083	   0.00086
418	   0.00119	   0.00255	   0.00281
419	  -0.00023	  -0.00078	   0.00081
420	   0.00173	  -0.00081	   0.00192
421	   0.00050	   0.00083	   0.00097
422	   0.00052	   0.00080	   0.00095
423	   0.00072	  -0.00058	   0.00092
424	   0.00673	  -0.00150	   0.00690
425	  -0.00107	  -0.00087	   0.00138
426	   0.00013	  -0.00006	   0.00014
427	   0.00019	  -0.00012	   0.00023
428	  -0.00020	   0.00037	   0.00042
429	  -0.00062	   0.00085	   0.00105
430	   0.00039	  -0.00045	   0.00059
431	  -0.00004	   0.00013	   0.00013
432	  -0.00006	  -0.00049	   0.00050
433	   0.00214	  -0.00028	   0.00216
434	   0.00062	  -0.00046	   0.00077
435	  -0.00081	   0.00350	   0.00360
436	  -0.00208	   0.00058	   0.00216
437	  -0.00015	   0.00070	   0.00071
438	   0.00001	   0.00026	   0.00026
439	  -0.00001	  -0.00042	   0.00042
440	  -0.00317	   0.00061	   0.00323
441	  -0.00069	  -0.00209	   0.00220
442	  -0.00017	   0.00024	   0.00029
443	  -0.00093	  -0.00055	   0.00108
444	  -0.00012	  -0.00041	   0.00043
445	  -0.00055	  -0.00068	   0.00088
446	   0.00004	   0.00038	   0.00039
447	  -0.00049	  -0.00102	   0.00114
448	  -0.01974	  -0.01295	   0.02361
449	  -0.00007	  -0.00003	   0.00007
450	  -0.00075	   0.00029	   0.00080
451	  -0.00045	   0.00156	   0.00162
452	   0.00015	  -0.00055	   0.00057
453	   0.00252	  -0.00281	   0.00377
454	  -0.00086	  -0.00144	   0.00167
455	  -0.00129	   0.00130	   0.00183
456	  -0.00041	  -0.00021	   0.00046
457	  -0.00025	   0.00325	   0.00326
458	  -0.00004	  -0.00013	   0.00014
459	  -0.00009	   0.00095	   0.00095
460	   0.00138	   0.00219	   0.00259
461	   0.00069	   0.00003	   0.00069
462	  -0.00036	   0.00064	   0.00074
463	  -0.00036	  -0.00062	   0.00071
464	   0.00538	  -0.00036	   0.00539
465	  -0.00035	  -0.00045	   0.00057
466	  -0.00227	   0.00157	   0.00276
467	   0.00067	  -0.00033	   0.00075
468	  -0.00011	  -0.00043	   0.00045
469	   0.00058	   0.00040	   0.00071
470	   0.00034	  -0.00023	   0.00041
471	  -0.01487	   0.01893	   0.02407
472	   0.00002	   0.00026	   0.00026
473	   0.00141	  -0.00016	   0.00142
474	  -0.00057	   0.00232	   0.00239
475	   0.00058	  -0.00001	   0.00058
476	   0.00085	   0.00039	   0.00094
477	   0.00082	  -0.00032	   0.00088
478	   0.00077	  -0.00018	   0.00079
479	   0.00082	  -0.00071	   0.00108
480	   0.00077	   0.00038	   0.00086
481	  -0.00147	   0.00064	   0.00160
482	   0.00088	  -0.00016	   0.00089
483	   0.00259	  -0.00250	   0.00360
484	  -0.00005	   0.00056	   0.00057
485	   0.00075	   0.00006	   0.00075
486	  -0.00438	   0.00016	   0.00438
487	   0.00102	   0.00145	   0.00177
488	  -0.00040	   0.00007	   0.00041
489	   0.00024	   0.00026	   0.00036
490	   0.00125	  -0.00032	   0.00129
491	  -0.00063	  -0.00030	   0.00070
492	  -0.00083	   0.00009	   0.00084
493	  -0.00041	  -0.00055	   0.00069
494	  -0.00264	  -0.00150	   0.00304
495	  -0.00047	  -0.00123	   0.00131
496	  -0.00071	  -0.00011	   0.00072
497	  -0.00054	  -0.00026	   0.00060
498	   0.00095	   0.00008	   0.00095
499	  -0.00077	   0.00156	   0.00174
500	   0.00108	  -0.00199	   0.00226
501	  -0.00069	   0.00114	   0.00134
502	   0.00042	   0.00016	   0.00045
503	   0.00051	  -0.00048	   0.00070
504	   0.00020	   0.00007	   0.00021
505	   0.00033	   0.00076	   0.00083
506	   0.00663	  -0.00008	   0.00663
507	   0.00161	  -0.00124	   0.00203
508	   0.00216	   0.00039	   0.00220
509	   0.00000	  -0.00682	   0.00682
510	  -0.00551	  -0.00108	   0.00561
511	   0.00036	  -0.00039	   0.00053
512	  -0.00078	   0.00019	   0.00080
513	  -0.00216	  -0.00169	   0.00275
514	  -0.00213	   0.00111	   0.00240
515	  -0.00087	   0.00128	   0.00155
516	   0.00009	   0.00005	   0.00010
517	  -0.00025	   0.00022	   0.00033
518	   0.00020	   0.00005	   0.00021
519	  -0.00002	   0.00013	   0.00013
520	   0.00116	  -0.00161	   0.00199
521	   0.00032	  -0.00016	   0.00036
522	   0.00404	  -0.00225	   0.00462
523	  -0.00051	   0.00036	   0.00062
524	   0.00001	   0.00054	   0.00054
525	   0.00036	   0.00010	   0.00038
526	  -0.00077	  -0.00026	   0.00081
527	  -0.00066	  -0.00083	   0.00106
528	   0.00037	  -0.00046	   0.00059
529	   0.00034	  -0.00032	   0.00047
530	  -0.00055	  -0.00059	   0.00081
531	   0.00098	   0.00039	   0.00105
532	  -0.00217	   0.00031	   0.00219
533	  -0.00078	   0.00058	   0.00097
534	   0.00095	  -0.00014	   0.00096
535	   0.00011	  -0.00014	   0.00018
536	  -0.00080	   0.00061	   0.00101
537	   0.00051	  -0.00087	   0.00101
538	   0.00015	   0.00012	   0.00020
539	   0.00432	   0.00263	   0.00506
540	  -0.00011	  -0.00015	   0.00019
541	   0.01042	  -0.00015	   0.01042
542	   0.00028	   0.00124	   0.00127
543	  -0.00040	  -0.00036	   0.00054
544	  -0.00029	  -0.00003	   0.00029
545	   0.00121	   0.00016	   0.00122
